Fecha y hora del ciclo Pomodoro:
Y-m-d Fuera del horario laboral. Ciclo Pomodoro pausado.
2025-07-15 Trabajando..., vas 0 minutos
2025-07-16 15:43:14 Trabajando..., vas 1 minutos
2025-07-16 15:44:14 Trabajando..., vas 2 minutos
2025-07-16 15:45:14 Trabajando..., vas 3 minutos
2025-07-16 15:46:14 Trabajando..., vas 4 minutos
2025-07-16 15:47:14 Trabajando..., vas 5 minutos
2025-07-16 15:48:14 Trabajando..., vas 6 minutos
2025-07-16 15:49:14 Trabajando..., vas 7 minutos
2025-07-16 15:50:14 Trabajando..., vas 8 minutos
2025-07-16 15:51:14 Trabajando..., vas 9 minutos
2025-07-16 15:52:14 Trabajando..., vas 10 minutos
2025-07-16 15:53:14 Trabajando..., vas 11 minutos
2025-07-16 15:54:14 Trabajando..., vas 12 minutos
2025-07-16 15:55:14 Trabajando..., vas 13 minutos
2025-07-16 15:56:14 Trabajando..., vas 14 minutos
2025-07-16 15:57:14 Trabajando..., vas 15 minutos
2025-07-16 15:58:14 Trabajando..., vas 16 minutos
2025-07-16 15:59:14 Trabajando..., vas 17 minutos
2025-07-16 16:00:14 Trabajando..., vas 18 minutos
2025-07-16 16:01:14 Trabajando..., vas 19 minutos
2025-07-16 16:02:14 Trabajando..., vas 20 minutos
2025-07-16 16:03:14 Trabajando..., vas 21 minutos
2025-07-16 16:04:14 Trabajando..., vas 22 minutos
2025-07-16 16:05:14 Trabajando..., vas 23 minutos
2025-07-16 16:06:14 Trabajando..., vas 24 minutos
2025-07-16 16:07:14 ¡Hora de descansar!, vas 0 minutos
2025-07-16 16:08:14 ¡Hora de descansar!, vas 1 minutos
2025-07-16 16:09:14 ¡Hora de descansar!, vas 2 minutos
2025-07-16 16:10:14 ¡Hora de descansar!, vas 3 minutos
2025-07-16 16:11:14 ¡Hora de descansar!, vas 4 minutos
2025-07-16 16:12:15 Trabajando..., vas 0 minutos
2025-07-16 16:13:15 Trabajando..., vas 1 minutos
2025-07-16 16:14:15 Trabajando..., vas 2 minutos
2025-07-16 16:15:15 Trabajando..., vas 3 minutos
2025-07-16 16:16:15 Trabajando..., vas 4 minutos
2025-07-16 16:17:15 Trabajando..., vas 5 minutos
2025-07-16 16:18:15 Trabajando..., vas 6 minutos
2025-07-16 16:19:15 Trabajando..., vas 7 minutos
2025-07-16 16:20:15 Trabajando..., vas 8 minutos
2025-07-16 16:21:15 Trabajando..., vas 9 minutos
2025-07-16 16:22:15 Trabajando..., vas 10 minutos
2025-07-16 16:23:15 Trabajando..., vas 11 minutos
2025-07-16 16:24:15 Trabajando..., vas 12 minutos
2025-07-16 16:25:15 Trabajando..., vas 13 minutos
2025-07-16 16:26:15 Trabajando..., vas 14 minutos
2025-07-16 16:27:15 Trabajando..., vas 15 minutos
2025-07-16 16:28:15 Trabajando..., vas 16 minutos
2025-07-16 16:29:15 Trabajando..., vas 17 minutos
2025-07-16 16:30:15 Trabajando..., vas 18 minutos
2025-07-16 16:31:15 Trabajando..., vas 19 minutos
2025-07-16 16:32:15 Trabajando..., vas 20 minutos
2025-07-16 16:33:15 Trabajando..., vas 21 minutos
2025-07-16 16:34:15 Trabajando..., vas 22 minutos
2025-07-16 16:35:16 Trabajando..., vas 23 minutos
2025-07-16 16:36:16 Trabajando..., vas 24 minutos
2025-07-16 16:37:16 ¡Hora de descansar!, vas 0 minutos
2025-07-16 16:38:16 ¡Hora de descansar!, vas 1 minutos
2025-07-16 16:39:16 ¡Hora de descansar!, vas 2 minutos
2025-07-16 16:40:16 ¡Hora de descansar!, vas 3 minutos
2025-07-16 16:41:16 ¡Hora de descansar!, vas 4 minutos
2025-07-16 16:42:16 Trabajando..., vas 0 minutos
2025-07-16 16:43:16 Trabajando..., vas 1 minutos
2025-07-16 16:44:16 Trabajando..., vas 2 minutos
2025-07-16 16:45:16 Trabajando..., vas 3 minutos
2025-07-16 16:46:16 Trabajando..., vas 4 minutos
2025-07-16 16:47:16 Trabajando..., vas 5 minutos
2025-07-16 16:48:16 Trabajando..., vas 6 minutos
2025-07-16 16:49:16 Trabajando..., vas 7 minutos
2025-07-16 16:50:16 Trabajando..., vas 8 minutos
2025-07-16 16:51:16 Trabajando..., vas 9 minutos
2025-07-16 16:52:16 Trabajando..., vas 10 minutos
2025-07-16 16:53:16 Trabajando..., vas 11 minutos
2025-07-16 16:54:16 Trabajando..., vas 12 minutos
2025-07-16 16:55:16 Trabajando..., vas 13 minutos
2025-07-16 16:56:16 Trabajando..., vas 14 minutos
2025-07-16 16:57:16 Trabajando..., vas 15 minutos
2025-07-16 16:58:17 Trabajando..., vas 16 minutos
2025-07-16 16:59:17 Trabajando..., vas 17 minutos
2025-07-16 17:00:17 Trabajando..., vas 18 minutos
2025-07-16 17:01:17 Trabajando..., vas 19 minutos
2025-07-16 17:02:17 Trabajando..., vas 20 minutos
2025-07-16 17:03:17 Trabajando..., vas 21 minutos
2025-07-16 17:04:17 Trabajando..., vas 22 minutos
2025-07-16 17:05:17 Trabajando..., vas 23 minutos
2025-07-16 17:06:17 Trabajando..., vas 24 minutos
2025-07-16 17:07:17 ¡Hora de descansar!, vas 0 minutos
2025-07-16 17:08:17 ¡Hora de descansar!, vas 1 minutos
2025-07-16 17:09:17 ¡Hora de descansar!, vas 2 minutos
2025-07-16 17:10:17 ¡Hora de descansar!, vas 3 minutos
2025-07-16 17:11:17 ¡Hora de descansar!, vas 4 minutos
2025-07-16 17:12:17 Trabajando..., vas 0 minutos
2025-07-16 17:13:17 Trabajando..., vas 1 minutos
2025-07-16 17:14:17 Trabajando..., vas 2 minutos
2025-07-16 17:15:17 Trabajando..., vas 3 minutos
2025-07-16 17:16:17 Trabajando..., vas 4 minutos
2025-07-16 17:17:18 Trabajando..., vas 5 minutos
2025-07-16 17:18:18 Trabajando..., vas 6 minutos
2025-07-16 17:19:18 Trabajando..., vas 7 minutos
2025-07-16 17:20:18 Trabajando..., vas 8 minutos
2025-07-16 17:21:18 Trabajando..., vas 9 minutos
2025-07-16 17:22:18 Trabajando..., vas 10 minutos
2025-07-16 17:23:18 Trabajando..., vas 11 minutos
2025-07-16 17:24:18 Trabajando..., vas 12 minutos
2025-07-16 17:25:18 Trabajando..., vas 13 minutos
2025-07-16 17:26:18 Trabajando..., vas 14 minutos
2025-07-16 17:27:18 Trabajando..., vas 15 minutos
2025-07-16 17:28:18 Trabajando..., vas 16 minutos
2025-07-16 17:29:18 Trabajando..., vas 17 minutos
2025-07-16 17:30:18 Trabajando..., vas 18 minutos
2025-07-16 17:31:18 Trabajando..., vas 19 minutos
2025-07-16 17:32:18 Trabajando..., vas 20 minutos
2025-07-16 17:33:18 Trabajando..., vas 21 minutos
2025-07-16 17:34:18 Trabajando..., vas 22 minutos
2025-07-16 17:35:19 Trabajando..., vas 23 minutos
2025-07-16 17:36:19 Trabajando..., vas 24 minutos
2025-07-16 17:37:19 ¡Hora de descansar!, vas 0 minutos
2025-07-16 17:38:19 ¡Hora de descansar!, vas 1 minutos
2025-07-16 17:39:19 ¡Hora de descansar!, vas 2 minutos
2025-07-16 17:40:19 ¡Hora de descansar!, vas 3 minutos
2025-07-16 17:41:19 ¡Hora de descansar!, vas 4 minutos
2025-07-16 17:42:19 Trabajando..., vas 0 minutos
2025-07-16 17:43:19 Trabajando..., vas 1 minutos
2025-07-16 17:44:19 Trabajando..., vas 2 minutos
2025-07-16 17:45:19 Trabajando..., vas 3 minutos
2025-07-16 17:46:19 Trabajando..., vas 4 minutos
2025-07-16 17:47:19 Trabajando..., vas 5 minutos
2025-07-16 17:48:19 Trabajando..., vas 6 minutos
2025-07-16 17:49:19 Trabajando..., vas 7 minutos
2025-07-16 17:50:19 Trabajando..., vas 8 minutos
2025-07-16 17:51:19 Trabajando..., vas 9 minutos
2025-07-16 17:52:19 Trabajando..., vas 10 minutos
2025-07-16 17:53:19 Trabajando..., vas 11 minutos
2025-07-16 17:54:19 Trabajando..., vas 12 minutos
2025-07-16 17:55:19 Trabajando..., vas 13 minutos
2025-07-16 17:56:20 Trabajando..., vas 14 minutos
2025-07-16 17:57:20 Trabajando..., vas 15 minutos
2025-07-16 17:58:20 Trabajando..., vas 16 minutos
2025-07-16 17:59:20 Trabajando..., vas 17 minutos
2025-07-16 18:00:20 Trabajando..., vas 18 minutos
2025-07-16 18:01:20 Trabajando..., vas 19 minutos
2025-07-16 18:02:20 Trabajando..., vas 20 minutos
2025-07-16 18:03:20 Trabajando..., vas 21 minutos
2025-07-16 18:04:20 Trabajando..., vas 22 minutos
2025-07-16 18:05:20 Trabajando..., vas 23 minutos
2025-07-16 18:06:20 Trabajando..., vas 24 minutos
2025-07-16 18:07:20 ¡Hora de descansar!, vas 0 minutos
2025-07-16 18:08:20 ¡Hora de descansar!, vas 1 minutos
2025-07-16 18:09:20 ¡Hora de descansar!, vas 2 minutos
2025-07-16 18:10:20 ¡Hora de descansar!, vas 3 minutos
2025-07-16 18:11:20 ¡Hora de descansar!, vas 4 minutos
2025-07-16 18:12:31 Fuera del horario laboral. Ciclo Pomodoro pausado.
2025-07-16 18:12:31 Esperando a reiniciar el trabajo..., te quedan 47 minutos de descanso
2025-07-16 18:13:31 Esperando a reiniciar el trabajo..., te quedan 46 minutos de descanso
2025-07-16 18:14:31 Esperando a reiniciar el trabajo..., te quedan 45 minutos de descanso
2025-07-16 18:15:31 Esperando a reiniciar el trabajo..., te quedan 44 minutos de descanso
2025-07-16 18:16:31 Esperando a reiniciar el trabajo..., te quedan 43 minutos de descanso
2025-07-16 18:17:31 Esperando a reiniciar el trabajo..., te quedan 42 minutos de descanso
2025-07-16 18:18:31 Esperando a reiniciar el trabajo..., te quedan 41 minutos de descanso
2025-07-16 18:19:31 Esperando a reiniciar el trabajo..., te quedan 40 minutos de descanso
2025-07-16 18:20:31 Esperando a reiniciar el trabajo..., te quedan 39 minutos de descanso
2025-07-16 18:21:31 Esperando a reiniciar el trabajo..., te quedan 38 minutos de descanso
2025-07-16 18:22:31 Esperando a reiniciar el trabajo..., te quedan 37 minutos de descanso
2025-07-16 18:23:31 Esperando a reiniciar el trabajo..., te quedan 36 minutos de descanso
2025-07-16 18:24:31 Esperando a reiniciar el trabajo..., te quedan 35 minutos de descanso
2025-07-16 18:25:31 Esperando a reiniciar el trabajo..., te quedan 34 minutos de descanso
2025-07-16 18:26:31 Esperando a reiniciar el trabajo..., te quedan 33 minutos de descanso
2025-07-16 18:27:31 Esperando a reiniciar el trabajo..., te quedan 32 minutos de descanso
2025-07-16 18:28:32 Esperando a reiniciar el trabajo..., te quedan 31 minutos de descanso
2025-07-16 18:29:32 Esperando a reiniciar el trabajo..., te quedan 30 minutos de descanso
2025-07-16 18:30:32 Esperando a reiniciar el trabajo..., te quedan 29 minutos de descanso
2025-07-16 18:31:32 Esperando a reiniciar el trabajo..., te quedan 28 minutos de descanso
2025-07-16 18:32:32 Esperando a reiniciar el trabajo..., te quedan 27 minutos de descanso
2025-07-16 18:33:32 Esperando a reiniciar el trabajo..., te quedan 26 minutos de descanso
2025-07-16 18:34:32 Esperando a reiniciar el trabajo..., te quedan 25 minutos de descanso
2025-07-16 18:35:32 Esperando a reiniciar el trabajo..., te quedan 24 minutos de descanso
2025-07-16 18:36:32 Esperando a reiniciar el trabajo..., te quedan 23 minutos de descanso
2025-07-16 18:37:32 Esperando a reiniciar el trabajo..., te quedan 22 minutos de descanso
2025-07-16 18:38:32 Esperando a reiniciar el trabajo..., te quedan 21 minutos de descanso
2025-07-16 18:39:32 Esperando a reiniciar el trabajo..., te quedan 20 minutos de descanso
2025-07-16 18:40:32 Esperando a reiniciar el trabajo..., te quedan 19 minutos de descanso
2025-07-16 18:41:32 Esperando a reiniciar el trabajo..., te quedan 18 minutos de descanso
2025-07-16 18:42:32 Esperando a reiniciar el trabajo..., te quedan 17 minutos de descanso
2025-07-16 18:43:32 Esperando a reiniciar el trabajo..., te quedan 16 minutos de descanso
2025-07-16 18:44:32 Esperando a reiniciar el trabajo..., te quedan 15 minutos de descanso
2025-07-16 18:45:32 Esperando a reiniciar el trabajo..., te quedan 14 minutos de descanso
2025-07-16 18:46:32 Esperando a reiniciar el trabajo..., te quedan 13 minutos de descanso
2025-07-16 18:47:32 Esperando a reiniciar el trabajo..., te quedan 12 minutos de descanso
2025-07-16 18:48:32 Esperando a reiniciar el trabajo..., te quedan 11 minutos de descanso
2025-07-16 18:49:32 Esperando a reiniciar el trabajo..., te quedan 10 minutos de descanso
2025-07-16 18:50:33 Esperando a reiniciar el trabajo..., te quedan 9 minutos de descanso
2025-07-16 18:51:33 Esperando a reiniciar el trabajo..., te quedan 8 minutos de descanso
2025-07-16 18:52:33 Esperando a reiniciar el trabajo..., te quedan 7 minutos de descanso
2025-07-16 18:53:33 Esperando a reiniciar el trabajo..., te quedan 6 minutos de descanso
2025-07-16 18:54:33 Esperando a reiniciar el trabajo..., te quedan 5 minutos de descanso
2025-07-16 18:55:33 Esperando a reiniciar el trabajo..., te quedan 4 minutos de descanso
2025-07-16 18:56:33 Esperando a reiniciar el trabajo..., te quedan 3 minutos de descanso
2025-07-16 18:57:33 Esperando a reiniciar el trabajo..., te quedan 2 minutos de descanso
2025-07-16 18:58:33 Esperando a reiniciar el trabajo..., te quedan 1 minutos de descanso
2025-07-16 19:00:33 Trabajando..., vas 0 minutos
2025-07-16 19:01:33 Trabajando..., vas 1 minutos
2025-07-16 19:02:33 Trabajando..., vas 2 minutos
2025-07-16 19:03:33 Trabajando..., vas 3 minutos
2025-07-16 19:04:33 Trabajando..., vas 4 minutos
2025-07-16 19:05:33 Trabajando..., vas 5 minutos
2025-07-16 19:06:33 Trabajando..., vas 6 minutos
2025-07-16 19:07:33 Trabajando..., vas 7 minutos
2025-07-16 19:08:33 Trabajando..., vas 8 minutos
2025-07-16 19:09:33 Trabajando..., vas 9 minutos
2025-07-16 19:10:33 Trabajando..., vas 10 minutos
2025-07-16 19:11:33 Trabajando..., vas 11 minutos
2025-07-16 19:12:34 Trabajando..., vas 12 minutos
2025-07-16 19:13:34 Trabajando..., vas 13 minutos
2025-07-16 19:14:34 Trabajando..., vas 14 minutos
2025-07-16 19:15:34 Trabajando..., vas 15 minutos
2025-07-17 08:49:53 Trabajando..., vas 0 minutos
2025-07-17 08:50:53 Trabajando..., vas 1 minutos
2025-07-17 08:51:53 Trabajando..., vas 2 minutos
2025-07-17 08:52:53 Trabajando..., vas 3 minutos
2025-07-17 08:53:53 Trabajando..., vas 4 minutos
2025-07-17 08:54:53 Trabajando..., vas 5 minutos
2025-07-17 08:55:53 Trabajando..., vas 6 minutos
2025-07-17 08:56:53 Trabajando..., vas 7 minutos
2025-07-17 08:57:53 Trabajando..., vas 8 minutos
2025-07-17 08:58:53 Trabajando..., vas 9 minutos
2025-07-17 08:59:53 Trabajando..., vas 10 minutos
2025-07-17 09:00:53 Trabajando..., vas 11 minutos
2025-07-17 09:01:53 Trabajando..., vas 12 minutos
2025-07-17 09:02:53 Trabajando..., vas 13 minutos
2025-07-17 09:03:53 Trabajando..., vas 14 minutos
2025-07-17 09:04:53 Trabajando..., vas 15 minutos
2025-07-17 09:05:53 Trabajando..., vas 16 minutos
2025-07-17 09:06:53 Trabajando..., vas 17 minutos
2025-07-17 09:07:53 Trabajando..., vas 18 minutos
2025-07-17 09:08:53 Trabajando..., vas 19 minutos
2025-07-17 09:09:53 Trabajando..., vas 20 minutos
2025-07-17 09:10:53 Trabajando..., vas 21 minutos
2025-07-17 09:11:53 Trabajando..., vas 22 minutos
2025-07-17 09:12:53 Trabajando..., vas 23 minutos
2025-07-17 09:13:53 Trabajando..., vas 24 minutos
2025-07-17 09:14:53 ¡Hora de descansar!, vas 0 minutos
2025-07-17 09:15:53 ¡Hora de descansar!, vas 1 minutos
2025-07-17 09:16:53 ¡Hora de descansar!, vas 2 minutos
2025-07-17 09:17:53 ¡Hora de descansar!, vas 3 minutos
2025-07-17 09:18:53 ¡Hora de descansar!, vas 4 minutos
2025-07-17 09:19:53 Trabajando..., vas 0 minutos
2025-07-17 09:20:53 Trabajando..., vas 1 minutos
2025-07-17 09:21:53 Trabajando..., vas 2 minutos
2025-07-17 09:22:53 Trabajando..., vas 3 minutos
2025-07-17 09:23:53 Trabajando..., vas 4 minutos
2025-07-17 09:24:54 Trabajando..., vas 5 minutos
2025-07-17 09:25:54 Trabajando..., vas 6 minutos
2025-07-17 09:26:54 Trabajando..., vas 7 minutos
2025-07-17 09:27:54 Trabajando..., vas 8 minutos
2025-07-17 09:28:54 Trabajando..., vas 9 minutos
2025-07-17 09:29:54 Trabajando..., vas 10 minutos
2025-07-17 09:30:54 Trabajando..., vas 11 minutos
2025-07-17 09:31:54 Trabajando..., vas 12 minutos
2025-07-17 09:32:54 Trabajando..., vas 13 minutos
2025-07-17 09:33:54 Trabajando..., vas 14 minutos
2025-07-17 09:34:54 Trabajando..., vas 15 minutos
2025-07-17 09:35:54 Trabajando..., vas 16 minutos
2025-07-17 09:36:54 Trabajando..., vas 17 minutos
2025-07-17 09:37:54 Trabajando..., vas 18 minutos
2025-07-17 09:38:54 Trabajando..., vas 19 minutos
2025-07-17 09:39:54 Trabajando..., vas 20 minutos
2025-07-17 09:40:54 Trabajando..., vas 21 minutos
2025-07-17 09:41:54 Trabajando..., vas 22 minutos
2025-07-17 09:42:54 Trabajando..., vas 23 minutos
2025-07-17 09:43:54 Trabajando..., vas 24 minutos
2025-07-17 09:44:54 ¡Hora de descansar!, vas 0 minutos
2025-07-17 09:45:54 ¡Hora de descansar!, vas 1 minutos
2025-07-17 09:46:54 ¡Hora de descansar!, vas 2 minutos
2025-07-17 09:47:54 ¡Hora de descansar!, vas 3 minutos
2025-07-17 09:48:54 ¡Hora de descansar!, vas 4 minutos
2025-07-17 09:49:54 Trabajando..., vas 0 minutos
2025-07-17 09:50:54 Trabajando..., vas 1 minutos
2025-07-17 09:51:54 Trabajando..., vas 2 minutos
2025-07-17 09:52:54 Trabajando..., vas 3 minutos
2025-07-17 09:53:54 Trabajando..., vas 4 minutos
2025-07-17 09:54:54 Trabajando..., vas 5 minutos
2025-07-17 09:55:54 Trabajando..., vas 6 minutos
2025-07-17 09:56:54 Trabajando..., vas 7 minutos
2025-07-17 09:57:54 Trabajando..., vas 8 minutos
2025-07-17 09:58:54 Trabajando..., vas 9 minutos
2025-07-17 09:59:54 Trabajando..., vas 10 minutos
2025-07-17 10:00:54 Trabajando..., vas 11 minutos
2025-07-17 10:01:54 Trabajando..., vas 12 minutos
2025-07-17 10:02:54 Trabajando..., vas 13 minutos
2025-07-17 10:03:54 Trabajando..., vas 14 minutos
2025-07-17 10:04:55 Trabajando..., vas 15 minutos
2025-07-17 10:05:55 Trabajando..., vas 16 minutos
2025-07-17 10:06:55 Trabajando..., vas 17 minutos
2025-07-17 10:07:55 Trabajando..., vas 18 minutos
2025-07-17 10:08:55 Trabajando..., vas 19 minutos
2025-07-17 10:09:55 Trabajando..., vas 20 minutos
2025-07-17 10:10:55 Trabajando..., vas 21 minutos
2025-07-17 10:11:55 Trabajando..., vas 22 minutos
2025-07-17 10:12:55 Trabajando..., vas 23 minutos
2025-07-17 10:13:55 Trabajando..., vas 24 minutos
2025-07-17 10:14:55 ¡Hora de descansar!, vas 0 minutos
2025-07-17 10:15:55 ¡Hora de descansar!, vas 1 minutos
2025-07-17 10:16:55 ¡Hora de descansar!, vas 2 minutos
2025-07-17 10:17:55 ¡Hora de descansar!, vas 3 minutos
2025-07-17 10:18:55 ¡Hora de descansar!, vas 4 minutos
2025-07-17 10:19:55 Trabajando..., vas 0 minutos
2025-07-17 10:20:55 Trabajando..., vas 1 minutos
2025-07-17 10:21:55 Trabajando..., vas 2 minutos
2025-07-17 10:22:55 Trabajando..., vas 3 minutos
2025-07-17 10:23:55 Trabajando..., vas 4 minutos
2025-07-17 10:24:55 Trabajando..., vas 5 minutos
2025-07-17 10:25:55 Trabajando..., vas 6 minutos
2025-07-17 10:26:55 Trabajando..., vas 7 minutos
2025-07-17 10:27:55 Trabajando..., vas 8 minutos
2025-07-17 10:28:55 Trabajando..., vas 9 minutos
2025-07-17 10:29:55 Trabajando..., vas 10 minutos
2025-07-17 10:30:55 Trabajando..., vas 11 minutos
2025-07-17 10:31:55 Trabajando..., vas 12 minutos
2025-07-17 10:32:56 Trabajando..., vas 13 minutos
2025-07-17 10:33:56 Trabajando..., vas 14 minutos
2025-07-17 10:34:56 Trabajando..., vas 15 minutos
2025-07-17 10:35:56 Trabajando..., vas 16 minutos
2025-07-17 10:36:56 Trabajando..., vas 17 minutos
2025-07-17 10:37:56 Trabajando..., vas 18 minutos
2025-07-17 10:38:56 Trabajando..., vas 19 minutos
2025-07-17 10:39:56 Trabajando..., vas 20 minutos
2025-07-17 10:40:56 Trabajando..., vas 21 minutos
2025-07-17 10:41:56 Trabajando..., vas 22 minutos
2025-07-17 10:42:56 Trabajando..., vas 23 minutos
2025-07-17 10:43:56 Trabajando..., vas 24 minutos
2025-07-17 10:44:56 ¡Hora de descansar!, vas 0 minutos
2025-07-17 10:45:56 ¡Hora de descansar!, vas 1 minutos
2025-07-17 10:46:56 ¡Hora de descansar!, vas 2 minutos
2025-07-17 10:47:56 ¡Hora de descansar!, vas 3 minutos
2025-07-17 10:48:56 ¡Hora de descansar!, vas 4 minutos
2025-07-17 10:49:57 Trabajando..., vas 0 minutos
2025-07-17 10:50:57 Trabajando..., vas 1 minutos
2025-07-17 10:51:57 Trabajando..., vas 2 minutos
2025-07-17 10:52:57 Trabajando..., vas 3 minutos
2025-07-17 10:53:57 Trabajando..., vas 4 minutos
2025-07-17 10:54:57 Trabajando..., vas 5 minutos
2025-07-17 10:55:57 Trabajando..., vas 6 minutos
2025-07-17 10:56:57 Trabajando..., vas 7 minutos
2025-07-17 10:57:57 Trabajando..., vas 8 minutos
2025-07-17 10:58:57 Trabajando..., vas 9 minutos
2025-07-17 10:59:57 Trabajando..., vas 10 minutos
2025-07-17 11:00:57 Trabajando..., vas 11 minutos
2025-07-17 11:01:58 Trabajando..., vas 12 minutos
2025-07-17 11:02:58 Trabajando..., vas 13 minutos
2025-07-17 11:03:58 Trabajando..., vas 14 minutos
2025-07-17 11:04:58 Trabajando..., vas 15 minutos
2025-07-17 11:05:58 Trabajando..., vas 16 minutos
2025-07-17 11:06:58 Trabajando..., vas 17 minutos
2025-07-17 11:07:58 Trabajando..., vas 18 minutos
2025-07-17 11:08:58 Trabajando..., vas 19 minutos
2025-07-17 11:09:58 Trabajando..., vas 20 minutos
2025-07-17 11:10:58 Trabajando..., vas 21 minutos
2025-07-17 11:11:58 Trabajando..., vas 22 minutos
2025-07-17 11:12:58 Trabajando..., vas 23 minutos
2025-07-17 11:13:58 Trabajando..., vas 24 minutos
2025-07-17 11:14:58 ¡Hora de descansar!, vas 0 minutos
2025-07-17 11:15:58 ¡Hora de descansar!, vas 1 minutos
2025-07-17 11:16:58 ¡Hora de descansar!, vas 2 minutos
2025-07-17 11:17:58 ¡Hora de descansar!, vas 3 minutos
2025-07-17 11:18:58 ¡Hora de descansar!, vas 4 minutos
2025-07-17 11:19:58 Trabajando..., vas 0 minutos
2025-07-17 11:20:58 Trabajando..., vas 1 minutos
2025-07-17 11:21:58 Trabajando..., vas 2 minutos
2025-07-17 11:22:58 Trabajando..., vas 3 minutos
2025-07-17 11:23:58 Trabajando..., vas 4 minutos
2025-07-17 11:24:58 Trabajando..., vas 5 minutos
2025-07-17 11:25:59 Trabajando..., vas 6 minutos
2025-07-17 11:26:59 Trabajando..., vas 7 minutos
2025-07-17 11:27:59 Trabajando..., vas 8 minutos
2025-07-17 11:28:59 Trabajando..., vas 9 minutos
2025-07-17 11:29:59 Trabajando..., vas 10 minutos
2025-07-17 11:30:59 Trabajando..., vas 11 minutos
2025-07-17 11:31:59 Trabajando..., vas 12 minutos
2025-07-17 11:32:59 Trabajando..., vas 13 minutos
2025-07-17 11:33:59 Trabajando..., vas 14 minutos
2025-07-17 11:34:59 Trabajando..., vas 15 minutos
2025-07-17 11:35:59 Trabajando..., vas 16 minutos
2025-07-17 11:36:59 Trabajando..., vas 17 minutos
2025-07-17 11:37:59 Trabajando..., vas 18 minutos
2025-07-17 11:38:59 Trabajando..., vas 19 minutos
2025-07-17 11:39:59 Trabajando..., vas 20 minutos
2025-07-17 11:40:59 Trabajando..., vas 21 minutos
2025-07-17 11:41:59 Trabajando..., vas 22 minutos
2025-07-17 11:43:00 Trabajando..., vas 23 minutos
2025-07-17 11:44:00 Trabajando..., vas 24 minutos
2025-07-17 11:45:00 ¡Hora de descansar!, vas 0 minutos
2025-07-17 11:46:00 ¡Hora de descansar!, vas 1 minutos
2025-07-17 11:47:00 ¡Hora de descansar!, vas 2 minutos
2025-07-17 11:48:00 ¡Hora de descansar!, vas 3 minutos
2025-07-17 11:49:00 ¡Hora de descansar!, vas 4 minutos
2025-07-17 11:50:00 Trabajando..., vas 0 minutos
2025-07-17 11:51:00 Trabajando..., vas 1 minutos
2025-07-17 11:52:00 Trabajando..., vas 2 minutos
2025-07-17 11:53:00 Trabajando..., vas 3 minutos
2025-07-17 11:54:00 Trabajando..., vas 4 minutos
2025-07-17 11:55:00 Trabajando..., vas 5 minutos
2025-07-17 11:56:00 Trabajando..., vas 6 minutos
2025-07-17 11:57:00 Trabajando..., vas 7 minutos
2025-07-17 11:58:00 Trabajando..., vas 8 minutos
2025-07-17 11:59:00 Trabajando..., vas 9 minutos
2025-07-17 12:00:00 Trabajando..., vas 10 minutos
2025-07-17 12:01:00 Trabajando..., vas 11 minutos
2025-07-17 12:02:00 Trabajando..., vas 12 minutos
2025-07-17 12:03:00 Trabajando..., vas 13 minutos
2025-07-17 12:04:00 Trabajando..., vas 14 minutos
2025-07-17 12:05:00 Trabajando..., vas 15 minutos
2025-07-17 12:06:01 Trabajando..., vas 16 minutos
2025-07-17 12:07:01 Trabajando..., vas 17 minutos
2025-07-17 12:08:01 Trabajando..., vas 18 minutos
2025-07-17 12:09:01 Trabajando..., vas 19 minutos
2025-07-17 12:10:01 Trabajando..., vas 20 minutos
2025-07-17 12:11:01 Trabajando..., vas 21 minutos
2025-07-17 12:12:01 Trabajando..., vas 22 minutos
2025-07-17 12:13:01 Trabajando..., vas 23 minutos
2025-07-17 12:14:01 Trabajando..., vas 24 minutos
2025-07-17 12:15:01 ¡Hora de descansar!, vas 0 minutos
2025-07-17 12:16:01 ¡Hora de descansar!, vas 1 minutos
2025-07-17 12:17:01 ¡Hora de descansar!, vas 2 minutos
2025-07-17 12:18:01 ¡Hora de descansar!, vas 3 minutos
2025-07-17 12:19:01 ¡Hora de descansar!, vas 4 minutos
2025-07-17 12:20:01 Trabajando..., vas 0 minutos
2025-07-17 12:21:01 Trabajando..., vas 1 minutos
2025-07-17 12:22:01 Trabajando..., vas 2 minutos
2025-07-17 12:23:01 Trabajando..., vas 3 minutos
2025-07-17 12:24:01 Trabajando..., vas 4 minutos
2025-07-17 12:25:01 Trabajando..., vas 5 minutos
2025-07-17 12:26:01 Trabajando..., vas 6 minutos
2025-07-17 12:27:01 Trabajando..., vas 7 minutos
2025-07-17 12:28:01 Trabajando..., vas 8 minutos
2025-07-17 12:29:01 Trabajando..., vas 9 minutos
2025-07-17 12:30:01 Trabajando..., vas 10 minutos
2025-07-17 12:31:01 Trabajando..., vas 11 minutos
2025-07-17 12:32:01 Trabajando..., vas 12 minutos
2025-07-17 12:33:01 Trabajando..., vas 13 minutos
2025-07-17 12:34:01 Trabajando..., vas 14 minutos
2025-07-17 12:35:01 Trabajando..., vas 15 minutos
2025-07-17 12:36:01 Trabajando..., vas 16 minutos
2025-07-17 12:37:01 Trabajando..., vas 17 minutos
2025-07-17 12:38:01 Trabajando..., vas 18 minutos
2025-07-17 12:39:01 Trabajando..., vas 19 minutos
